Title,Year
Why Don't You Play in Hell,
Actress ,2014
Bhopal: A Prayer for Rain,
Death Metal Angola,
Open Windows,
Mr. Pip,
The Tower ,2012
Gladiators of Rome,
The Sacrifice,
Dumb and Dumber To,
Beyond the Lights,
Foxcatcher,
Rosewater,
Kirk Cameron's Saving Christmas,
The Homesman,
Le Jour Se Leve ,
Wolves,
The Hunger Games: Mockingjay - Part 1,
A Girl Walks Home Alone at Night,
Happy Ending,
Monk With a Camera,
The King and the Mockingbird,
Happy Valley,2014
Sleepwalker,
V/H/S: Viral,
Penguins of Madagascar,
Horrible Bosses 2,
Women Who Flirt,
Dr. Cabbie ,
The Immortalists,
The Imitation Game,
The Babadook,
Antarctica: A Year on Ice,
Touch the Wall,
Before I Disappear,
Aftermath ,2014
Wild ,2014
Zero Motivation,
The Pyramid,
She's Beautiful When She's Angry,
Action Jackson,2014
The One I Wrote For You,
The Passionate Thief ,
Uzumasa Limelight,
Concerning Violence,
Comet,
Life Partners,
Pioneer,
Magician: The Astonishing Life and Work of Orson Welles,
Exodus: Gods and Kings,
Top Five,
Inherent Vice,
Back in Time ,
Six Dance Lessons in Six Weeks,
Tip Top,
Free the Nipple,
Maidan,
We Are the Giant,
Expelled from Paradise,
The Hobbit: The Battle of the Five Armies,
Goodbye To All That,
"If You Don't, I Will",
Anything For Alice,
Night at the Museum: Secret of the Tomb,
Annie ,2014
P.K.,
Mr. Turner,
Song of the Sea,
A Tale of Winter,
Inside the Mind of Leonardo Da Vinci in 3D,
"Two Days, One Night",
Wei ai zhi jian ru jia jing ,2014
American Sniper,
Into the Woods,
Unbroken,
Selma,
The Gambler,
Big Eyes,
The Interview ,2014
Ode to My Father,
Leviathan ,2014
A Most Violent Year,
